doc,year,authors,title,journal,topic,pct,firsttop,firstpct,secondtop,secondpct
2172289,1947,J. T. Marshall,Canada'S National Vital Statistics Index,Population Studies,topic 30,0.21768668038,topic 21,0.451427605836,topic 28,0.103810896317
2171993,1948,Jacques Doublet,Family Allowances In France,Population Studies,topic 30,0.229351370727,topic 9,0.43398271127,topic 22,0.166087603207
2172574,1949,Frank W. Notestein,The Report Of The Royal Commission On Population,Population Studies,topic 30,0.279482102241,topic 22,0.356350219932,topic 3,0.147388839845
2172309,1950,D. V. Glass,Introduction,Population Studies,topic 30,0.358060600759,topic 22,0.286381554959,topic 18,0.181601108447
2172001,1952,H. Gille,Family Welfare Measures In Denmark,Population Studies,topic 30,0.218565300474,topic 9,0.478197141788,topic 22,0.133218736045
2172563,1954,Cicely Watson,Population Policy In France,Population Studies,topic 30,0.283828637245,topic 9,0.500487977822,topic 22,0.112996496351
2173310,1961,M. C. Balfour,Family Planning In Asia,Population Studies,topic 30,0.27107878896,topic 15,0.318179624536,topic 22,0.230486212502
2173121,1962,James W. Brackett,The Objectives Of Government Policies On Fertility Control In Eastern Europe,Population Studies,topic 30,0.289534996324,topic 15,0.271610056468,topic 22,0.198272607147
2060052,1964,Judith Blake,Issues In The Training And Recruitment Of Demographers,Demography,topic 30,0.368675685427,topic 22,0.318006344714,topic 28,0.134932461983
2060144,1965,James W. Brackett,Report Of The One-Day Seminar On Computer Applications To Demography Held At The Bureau Of,Demography,topic 30,0.23159365941,topic 6,0.384104485424,topic 28,0.191392985995
2060180,1966,Earl E. Huyck,White-Nonwhite Differentials,Demography,topic 30,0.240003743483,topic 28,0.320462658365,topic 22,0.137158847502
2173148,1967,Julius Paul,Population `Quality ' And `Fitness For Parenthood ' In The Light Of State Eugenic Sterilization,Population Studies,topic 30,0.296114488431,topic 22,0.412715637535,topic 5,0.106555889367
2060246,1968,R. T. Ravenholt,The A.I.D. Population And Family Planning Program--Goals_ Scope_ And Progress,Demography,topic 30,0.689668019886,topic 22,0.105876028126,topic 15,0.0601320725873
2173242,1969,,Notice,Population Studies,topic 30,0.54773452584,topic 5,0.172888885251,topic 20,0.10451500133
2060157,1970,Edwin D. Driver,Summary Of The Social Sciences And Population Policy,Demography,topic 30,0.537199097839,topic 22,0.282902098768,topic 20,0.1131147967
2173208,1971,Bernard Berelson,Population Policy,Population Studies,topic 30,0.50553739587,topic 22,0.290771125956,topic 20,0.0932086233187
2172797,1972,Dorothy L. Nortman,Status Of National Family Planning Programmes Of Developing Countries In Relation To Demographic Targets,Population Studies,topic 30,0.273201695272,topic 15,0.228893751035,topic 22,0.168921669283
2173762,1973,M.-Francoise Hall,Population Growth,Population Studies,topic 30,0.367825982889,topic 22,0.261115321482,topic 29,0.156709533305
2173635,1974,Milos Macura,Population Policies In Socialist Countries Of Europe,Population Studies,topic 30,0.466939333173,topic 22,0.206035739518,topic 2,0.114014231381
1972273,1975,Bernard Berelson,The World Population Plan Of Action,Population and Development Review,topic 30,0.696500528169,topic 22,0.14685217372,topic 20,0.0753878027551
1971616,1976,Jason L. Finkle,The World Health Organization And The Population Issue,Population and Development Review,topic 30,0.707000192747,topic 22,0.192168519922,topic 20,0.0449487407896
1971684,1977,Carmen A. Miró,The World Population Plan Of Action,Population and Development Review,topic 30,0.729696469766,topic 22,0.174585767857,topic 20,0.0453226894333
1971729,1978,Deborah Oakley,American-Japanese Interaction In The Development Of Population Policy In Japan_ 1945-52,Population and Development Review,topic 30,0.548040951477,topic 22,0.257035556527,topic 2,0.0718118399164
1972005,1979,,The Colombo Declaration On Population And Development,Population and Development Review,topic 30,0.727135229073,topic 22,0.181631261938,topic 29,0.034175773062
1972436,1980,,United States International Population Policy,Population and Development Review,topic 30,0.62428479847,topic 22,0.154526031503,topic 29,0.108278656756
1972586,1981,[Indira Gandhi],Calls For Reinvigorating India'S Family Planning Program,Population and Development Review,topic 30,0.61772786125,topic 22,0.23644495847,topic 29,0.0465530124174
