"topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20","topic 21","topic 22","topic 23","topic 24","topic 25","topic 26","topic 27","topic 28","topic 29","topic 30","doc"
1.51881882767555e-05,0.0064153996840943,0.187846281576239,9.61724982225213e-06,1.23195881264515e-05,0.000281074856697259,4.72393062680468e-05,0.0205287232441202,0.284222669417113,0.0100602834532045,1.44467237388416e-05,2.83426157982894e-05,1.9476545861778e-05,1.06433940206971e-05,0.000473887336136219,4.02826014518395e-05,0.000943460590947682,1.74112420362146e-05,3.37776479635609e-05,3.83594795292336e-05,3.86897738114807e-05,0.0189890662913023,1.23660213295484e-05,0.456047457364147,1.4474799403795e-05,2.42044211090133e-05,0.00663536578070685,2.42715112354808e-05,4.11934508187661e-05,0.00711402584469054,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc1.txt"
0.106684629955676,0.00168288348547941,0.00536872956226746,1.71134358036505e-05,2.19221174895165e-05,9.46170381490433e-05,8.40600847611013e-05,3.10809559668876e-05,4.94924229087912e-05,0.00654661084702245,2.57072535129218e-05,5.04343284136473e-05,3.46575812672752e-05,1.89394102963526e-05,0.254307146008486,7.16809614693628e-05,0.011817398417081,3.09824719494292e-05,6.0105708046101e-05,6.8258858043396e-05,6.88466009116814e-05,0.253999559007946,2.20047431522623e-05,0.00164681610695793,0.0357134723859415,0.00328740835201815,4.65915380486531e-05,4.31899926759636e-05,0.00899523056760866,0.309110429800649,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc10.txt"
2.25387171209886e-05,5.06325903557285e-05,0.357557513505895,0.00508726437038629,0.000694680848868648,7.89053148777437e-05,0.0396394446430093,2.59197779305391e-05,0.00274687002975456,4.83148489072108e-05,2.14384108059251e-05,4.20594075018255e-05,2.89024832767183e-05,0.0165875706355439,2.68324829744573e-05,5.97779104707335e-05,0.00816405138290139,2.58376477713205e-05,0.0081669131530868,0.0416554643932414,0.441407781080713,0.0132983027313075,1.83507243642321e-05,2.05544150637731e-05,2.14800740681154e-05,3.59184776032993e-05,3.88547353868371e-05,0.0642939258568129,6.11295776904776e-05,7.27697723097611e-05,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc100.txt"
1.99540595259352e-05,0.000943074326732363,0.294696756052227,0.111395398998361,1.61853270667205e-05,0.0886970022673956,6.20624337847521e-05,2.29473926554304e-05,0.00961785379971251,4.27742788511807e-05,1.89799323123196e-05,3.72361885732819e-05,2.55880522682422e-05,1.39831633620189e-05,2.3755432025116e-05,0.000951170895005479,0.329698894505874,2.28746808823012e-05,4.43766686210026e-05,0.149159580249565,5.08301606229608e-05,0.0141686302989878,1.62463304518307e-05,1.81973099667403e-05,1.90168177840758e-05,3.17994780417105e-05,3.43990165283817e-05,3.18876202448978e-05,5.41194614353261e-05,6.44248011350004e-05,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc1000.txt"
0.369969773897098,4.43088260499919e-05,7.05564832253056e-05,1.24891883603267e-05,0.000903878629249576,0.0036205709062703,0.174973729795592,0.00120652268421628,3.61190002527133e-05,4.22805592370614e-05,1.87608575526994e-05,3.68063920425762e-05,2.52927036701772e-05,0.0304977058963818,0.00179924147708858,5.23119401569399e-05,0.135591058481719,2.26106512149022e-05,0.0370388694691304,4.98145284877821e-05,5.02434564642372e-05,0.000686887906086494,0.0819969899227322,0.0568423149725626,1.87973172760533e-05,0.0077263934776723,0.0408764875051279,3.15195592515782e-05,5.34947907141865e-05,0.0557041687251158,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc1001.txt"
2.47667615103723e-05,0.00637338047582718,8.85965596793559e-05,1.56824585258743e-05,2.00890517996014e-05,8.67054280413362e-05,7.70312173471474e-05,0.0416512571387178,4.53540059703609e-05,5.30909693693372e-05,2.35576854149029e-05,0.395462580456694,0.00263318305477775,1.73557501769289e-05,2.94849836835061e-05,0.35348764350106,5.1935170236528e-05,2.83918049508413e-05,5.50798381117732e-05,0.0238469941502272,0.0138134708969158,0.0517760863972578,2.016476853726e-05,2.25863030773663e-05,2.36034672609978e-05,3.94691660506338e-05,0.108187584521082,3.957856719392e-05,6.71724865156578e-05,0.00193812296398685,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc1002.txt"
5.23581469423096e-05,0.0833963178679997,0.000187297466741144,3.31534854716684e-05,4.24692394932092e-05,0.00411153993561074,0.245285049586596,6.02124572713779e-05,9.58805901217258e-05,0.0221103832268963,4.98021008543094e-05,9.77053230876372e-05,6.71413753620812e-05,0.0016079870714951,6.23326997212e-05,0.000138865961337981,0.00403803390751725,6.00216663349779e-05,0.000116441475653047,0.0268442712088216,0.000133375016524285,0.179379862071676,4.26293083853275e-05,0.0157607102061433,4.98988859194106e-05,8.34397502840263e-05,9.02607692295904e-05,8.36710296595488e-05,0.415749841704887,0.000169046463962442,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc1003.txt"
2.80622739229821e-05,0.00216845095877296,0.000100385386491273,1.77691962978116e-05,2.2762139257379e-05,0.0144150296267357,0.296107906656762,3.22719303146278e-05,0.00131463480890321,6.01553547747871e-05,2.66923158616271e-05,5.23668941767517e-05,3.59856063861944e-05,1.96651393198844e-05,3.34083117162768e-05,0.109976822061601,5.8845762810119e-05,3.21696725413499e-05,0.0489079174866757,7.08744323205301e-05,7.14846965900214e-05,0.00224052687639782,2.28479310082239e-05,2.55916795419175e-05,2.67441895272768e-05,4.47210083870145e-05,0.467870446486545,0.0206778615391068,0.0354469961381621,9.06034390913894e-05,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc1004.txt"
4.28068982101609e-05,9.61644857530991e-05,0.000153130392537446,2.7105578802502e-05,0.00838499927230313,0.660464100073158,0.117037023500775,4.92284139131115e-05,0.0244868928872108,9.17624906558814e-05,4.07171297385978e-05,7.98817770348477e-05,0.12466672431476,2.99976979579518e-05,0.0090435682370459,0.000113533832249657,0.00330140993413554,0.0392311429888072,9.52000536079522e-05,0.002035100717847,0.000109044553513791,0.000206110902698474,3.48528084240824e-05,3.90381914232809e-05,4.07962591324363e-05,6.82185506111419e-05,0.00392776942302355,6.84076396691831e-05,0.00589706223097406,0.000138208764026756,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc1005.txt"
1.06257996129719e-05,0.037333528405249,3.80109966802596e-05,0.00176060112335932,0.00495135134974295,0.000993857529135888,3.30490637272572e-05,1.2219788944694e-05,1.94584414633604e-05,0.000660549796092924,1.01070640365862e-05,1.98287610406427e-05,0.00112972685074808,7.44621873294228e-06,1.26500805558075e-05,2.81820874956848e-05,2.22819891719721e-05,1.21810689674497e-05,2.36311607492779e-05,2.68366532800584e-05,0.00911531771865317,0.165871863697137,0.0124452040007077,0.00224189205885798,0.5784692663174,1.6933641048286e-05,1.83179295440517e-05,1.6980577932848e-05,0.14496249019364,0.0397356096362919,"//users//emily//dropbox//jstor//topicmodeling//cleantext/doc1006.txt"
