doc,year,authors,title,journal,topic,pct,firsttop,firstpct,secondtop,secondpct
2172502,1950,Hans Harmsen,Notes On Abortion And Birth Control In Germany,Population Studies,topic 15,0.284079580103,topic 9,0.341831002773,topic 22,0.1542380135
2172430,1952,C. Watson,Birth Control And Abortion In France Since 1939,Population Studies,topic 15,0.247059285939,topic 9,0.380464093262,topic 22,0.198268166977
2172408,1959,Yoshio Koya,Five-Year Experiment On Family Planning Among Coal Miners In Joban_ Japan,Population Studies,topic 15,0.454435204595,topic 3,0.16349389339,topic 22,0.152375089232
2173312,1961,Rachel M. Pierce,Birth Control In Britain Part Ii,Population Studies,topic 15,0.497789289865,topic 12,0.249130749249,topic 9,0.0898594919709
2172861,1962,Yoshio Koya,Lessons From Contraceptive Failure,Population Studies,topic 15,0.457954161511,topic 22,0.197637824367,topic 21,0.09128503784
2172691,1963,Savitri Thapar,Family Planning In India,Population Studies,topic 15,0.343083856812,topic 30,0.37226638405,topic 22,0.160522941441
2060035,1964,R. N. Basu,Experiences With A Poorly Effective Oral Contraceptive In An Indian Village,Demography,topic 15,0.459757414086,topic 28,0.197413428569,topic 22,0.151230124206
2173186,1965,L. P. Chow,A Programme To Control Fertility In Taiwan,Population Studies,topic 15,0.497293977412,topic 3,0.154510048693,topic 21,0.133216895475
2060183,1966,H. T. Croley,Characteristics And Utilization Of Midwives In A Selected Rural Area Of East Pakistan,Demography,topic 15,0.527016150237,topic 28,0.223055316633,topic 21,0.118223275278
2172674,1967,P. E. Treffers,Abortion In Amsterdam,Population Studies,topic 15,0.495461493151,topic 12,0.341674346074,topic 22,0.0586357889218
2060260,1968,Edwin B. Mcdaniel,Trial Of A Long-Acting_ Injectable Contraceptive As A Substitute For The Iucd And The Pill,Demography,topic 15,0.663013722282,topic 21,0.145134209864,topic 9,0.0802986848081
2060401,1969,M.-Franξ̧Oise Hall,Factors Influencing Contraception Continuation Rates,Demography,topic 15,0.486898096642,topic 7,0.237026517168,topic 3,0.103874699697
2060239,1970,Donald W. Helbig,Iud Retention In West Pakistan And Methodology Of Assessment,Demography,topic 15,0.532935922195,topic 21,0.263754484711,topic 3,0.132536044906
2060629,1971,James A. Palmore,Interpersonal Communication And The Diffusion Of Family Planning In West Malaysia,Demography,topic 15,0.461896574798,topic 7,0.22484125925,topic 12,0.117622047265
2173823,1972,C. Chandrasekaran,`Continuation Rate'_ `Use-Effectiveness' And Their Assessment For The Diaphragm And Jelly Method,Population Studies,topic 15,0.620144967116,topic 21,0.204217767795,topic 3,0.136380959926
2173451,1973,Jack Harewood,Changes In The Use Of Birth Control Methods,Population Studies,topic 15,0.504039091048,topic 3,0.344511296895,topic 21,0.0882217270353
2173795,1974,T. James Trussell,Cost Versus Effectiveness Of Different Birth Control Methods,Population Studies,topic 15,0.626149707688,topic 6,0.191690694158,topic 9,0.104921110892
2060830,1975,Dorothy Nortman,Contraceptive Practice Required To Meet A Prescribed Crude Birth Rate Target,Demography,topic 15,0.34208668357,topic 3,0.350846152675,topic 6,0.218303297178
2060503,1976,J. Richard Udry,The Effect Of Subsidized Family Planning Services On Reproductive Behavior In The United States_ 1969-1974,Demography,topic 15,0.347772908481,topic 7,0.268101506446,topic 13,0.12134186712
2173493,1977,Barbara Thompson,Problems Of Abortion In Britain--Aberdeen_ A Case Study,Population Studies,topic 15,0.493409994709,topic 9,0.227218876377,topic 16,0.0991395995469
