source,target,scount,tcount,sfield,tfield,sabbrev,tabbrev,weight
Studies in Family Planning,,290,,famplan,,Studies in FP,,0
Transactions of the Faculty of Actuaries,,5,,statistics,,Actuaries,,0
William and Mary Quarterly,,7,,history,,WMQ,,0
Social Forces,,66,,sociology,,Social Forces,,0
AAAPSS,,52,,general,,AAAPSS,,0
Milbank Quarterly,,153,,pubh,,Milbank,,0
Journal of Marriage and Family,,171,,demography,,JMF,,0
American Economic Review,,54,,economics,,AER,,0
Journal of Economic History,,39,,history,,JEH,,0
Population Index,,49,,demography,,Pop. Index,,0
American Journal of Sociology,,73,,sociology,,AJS,,0
Population Studies,,275,,demography,,Pop. Studies,,0
Social Indicators Research,,3,,general,,Soc. Ind.,,0
American Journal of Agricultural Economics,,51,,economics,,Ag. Econ.,,0
Public Health Reports,,67,,pubh,,PHR,,0
Science,,57,,general,,Science,,0
Economic Geography,,45,,geography,,Econ. Geo.,,0
Human Biology,,59,,eugenics,,Human Biology,,0
Economic Development and Cultural Change,,74,,economics,,Econ. Dev.,,0
Demography,,439,,demography,,Demography,,0
Journal of Social History,,23,,history,,Social Hist.,,0
Genus,,13,,eugenics,,Genus,,0
J. of the American Statistical Association,,35,,statistics,,JASA,,0
PNAS,,11,,general,,PNAS,,0
Journal of Interdisciplinary History,,15,,history,,JIH,,0
International Migration Review,,127,,demography,,IMR,,0
American Sociological Review,,74,,sociology,,ASR,,0
Biometrika,,2,,eugenics,,Biometrika,,0
Economic History Review,,15,,history,,EHR,,0
Family Planning Perspectives,,147,,famplan,,FP Perspectives,,0
Biometrics,,14,,eugenics,,Biometrics,,0
AAAPSS,Demography,52,439,general,demography,AAAPSS,Demography,8
Population Studies,Studies in Family Planning,275,290,demography,famplan,Pop. Studies,Studies in FP,27
Economic Geography,International Migration Review,45,127,geography,demography,Econ. Geo.,IMR,1
J. of the American Statistical Association,Population Studies,35,275,statistics,demography,JASA,Pop. Studies,9
Science,Studies in Family Planning,57,290,general,famplan,Science,Studies in FP,10
Family Planning Perspectives,Science,147,57,famplan,general,FP Perspectives,Science,9
Family Planning Perspectives,Studies in Family Planning,147,290,famplan,famplan,FP Perspectives,Studies in FP,18
American Journal of Sociology,American Sociological Review,73,74,sociology,sociology,AJS,ASR,17
American Sociological Review,Demography,74,439,sociology,demography,ASR,Demography,32
American Journal of Sociology,Demography,73,439,sociology,demography,AJS,Demography,25
American Journal of Sociology,International Migration Review,73,127,sociology,demography,AJS,IMR,6
American Economic Review,Demography,54,439,economics,demography,AER,Demography,6
American Economic Review,Science,54,57,economics,general,AER,Science,2
American Economic Review,Journal of Economic History,54,39,economics,history,AER,JEH,3
Demography,Science,439,57,demography,general,Demography,Science,17
Demography,Journal of Economic History,439,39,demography,history,Demography,JEH,3
Journal of Economic History,Science,39,57,history,general,JEH,Science,1
American Economic Review,Population Studies,54,275,economics,demography,AER,Pop. Studies,3
Demography,Social Forces,439,66,demography,sociology,Demography,Social Forces,14
Demography,Economic Geography,439,45,demography,geography,Demography,Econ. Geo.,2
Demography,Studies in Family Planning,439,290,demography,famplan,Demography,Studies in FP,55
Demography,Journal of Marriage and Family,439,171,demography,demography,Demography,JMF,38
American Sociological Review,Studies in Family Planning,74,290,sociology,famplan,ASR,Studies in FP,5
American Sociological Review,Journal of Marriage and Family,74,171,sociology,demography,ASR,JMF,12
Journal of Marriage and Family,Studies in Family Planning,171,290,demography,famplan,JMF,Studies in FP,15
Demography,Economic Development and Cultural Change,439,74,demography,economics,Demography,Econ. Dev.,14
American Journal of Sociology,Economic Geography,73,45,sociology,geography,AJS,Econ. Geo.,2
Milbank Quarterly,Public Health Reports,153,67,pubh,pubh,Milbank,PHR,4
Demography,Population Studies,439,275,demography,demography,Demography,Pop. Studies,74
Demography,Human Biology,439,59,demography,eugenics,Demography,Human Biology,5
Social Forces,Studies in Family Planning,66,290,sociology,famplan,Social Forces,Studies in FP,1
American Journal of Sociology,Science,73,57,sociology,general,AJS,Science,5
American Sociological Review,Science,74,57,sociology,general,ASR,Science,7
Demography,International Migration Review,439,127,demography,demography,Demography,IMR,15
AAAPSS,American Economic Review,52,54,general,economics,AAAPSS,AER,1
Milbank Quarterly,Population Studies,153,275,pubh,demography,Milbank,Pop. Studies,20
Population Studies,Social Forces,275,66,demography,sociology,Pop. Studies,Social Forces,4
Demography,Milbank Quarterly,439,153,demography,pubh,Demography,Milbank,54
J. of the American Statistical Association,Milbank Quarterly,35,153,statistics,pubh,JASA,Milbank,7
Milbank Quarterly,Studies in Family Planning,153,290,pubh,famplan,Milbank,Studies in FP,22
Journal of Marriage and Family,Milbank Quarterly,171,153,demography,pubh,JMF,Milbank,13
Economic Development and Cultural Change,Studies in Family Planning,74,290,economics,famplan,Econ. Dev.,Studies in FP,5
International Migration Review,Studies in Family Planning,127,290,demography,famplan,IMR,Studies in FP,2
Economic Development and Cultural Change,International Migration Review,74,127,economics,demography,Econ. Dev.,IMR,1
American Sociological Review,International Migration Review,74,127,sociology,demography,ASR,IMR,2
American Journal of Sociology,Family Planning Perspectives,73,147,sociology,famplan,AJS,FP Perspectives,4
American Journal of Sociology,Journal of Marriage and Family,73,171,sociology,demography,AJS,JMF,17
American Journal of Sociology,Population Studies,73,275,sociology,demography,AJS,Pop. Studies,9
American Journal of Sociology,Milbank Quarterly,73,153,sociology,pubh,AJS,Milbank,8
Demography,Family Planning Perspectives,439,147,demography,famplan,Demography,FP Perspectives,20
Family Planning Perspectives,Journal of Marriage and Family,147,171,famplan,demography,FP Perspectives,JMF,11
Family Planning Perspectives,Population Studies,147,275,famplan,demography,FP Perspectives,Pop. Studies,7
Family Planning Perspectives,Milbank Quarterly,147,153,famplan,pubh,FP Perspectives,Milbank,12
Journal of Marriage and Family,Population Studies,171,275,demography,demography,JMF,Pop. Studies,20
AAAPSS,Milbank Quarterly,52,153,general,pubh,AAAPSS,Milbank,8
AAAPSS,Population Studies,52,275,general,demography,AAAPSS,Pop. Studies,4
AAAPSS,J. of the American Statistical Association,52,35,general,statistics,AAAPSS,JASA,2
Milbank Quarterly,Science,153,57,pubh,general,Milbank,Science,8
Human Biology,Population Studies,59,275,eugenics,demography,Human Biology,Pop. Studies,6
Genus,Population Studies,13,275,eugenics,demography,Genus,Pop. Studies,2
Public Health Reports,Science,67,57,pubh,general,PHR,Science,5
American Sociological Review,Population Studies,74,275,sociology,demography,ASR,Pop. Studies,13
