source,target,scount,tcount,sfield,tfield,sabbrev,tabbrev,weight
AAAPSS,,38,,general,,AAAPSS,,0
Transactions of the Faculty of Actuaries,,9,,statistics,,Actuaries,,0
Social Forces,,80,,sociology,,Social Forces,,0
Studies in Family Planning,,18,,famplan,,Studies in FP,,0
Milbank Quarterly,,117,,pubh,,Milbank,,0
Journal of Marriage and Family,,10,,demography,,JMF,,0
Marriage and Family Living,,60,,eugenics,,Fam. Living,,0
American Economic Review,,29,,economics,,AER,,0
Journal of Economic History,,12,,history,,JEH,,0
Population Index,,52,,demography,,Pop. Index,,0
American Journal of Sociology,,51,,sociology,,AJS,,0
Population Studies,,165,,demography,,Pop. Studies,,0
Public Health Reports,,108,,pubh,,PHR,,0
Science,,15,,general,,Science,,0
Economic Geography,,13,,geography,,Econ. Geo.,,0
Human Biology,,30,,eugenics,,Human Biology,,0
Economic Development and Cultural Change,,43,,economics,,Econ. Dev.,,0
Demography,,24,,demography,,Demography,,0
Genus,,5,,eugenics,,Genus,,0
J. of the American Statistical Association,,44,,statistics,,JASA,,0
PNAS,,4,,general,,PNAS,,0
American Sociological Review,,109,,sociology,,ASR,,0
Economic History Review,,10,,history,,EHR,,0
Biometrics,,5,,eugenics,,Biometrics,,0
American Journal of Sociology,American Sociological Review,51,109,sociology,sociology,AJS,ASR,18
AAAPSS,American Journal of Sociology,38,51,general,sociology,AAAPSS,AJS,2
American Journal of Sociology,Social Forces,51,80,sociology,sociology,AJS,Social Forces,6
American Journal of Sociology,J. of the American Statistical Association,51,44,sociology,statistics,AJS,JASA,7
AAAPSS,American Sociological Review,38,109,general,sociology,AAAPSS,ASR,5
American Sociological Review,Social Forces,109,80,sociology,sociology,ASR,Social Forces,20
American Sociological Review,J. of the American Statistical Association,109,44,sociology,statistics,ASR,JASA,8
AAAPSS,Social Forces,38,80,general,sociology,AAAPSS,Social Forces,1
AAAPSS,J. of the American Statistical Association,38,44,general,statistics,AAAPSS,JASA,2
J. of the American Statistical Association,Social Forces,44,80,statistics,sociology,JASA,Social Forces,8
American Sociological Review,Population Studies,109,165,sociology,demography,ASR,Pop. Studies,11
American Sociological Review,Milbank Quarterly,109,117,sociology,pubh,ASR,Milbank,18
Milbank Quarterly,Population Studies,117,165,pubh,demography,Milbank,Pop. Studies,22
Milbank Quarterly,Public Health Reports,117,108,pubh,pubh,Milbank,PHR,12
Human Biology,PNAS,30,4,eugenics,general,Human Biology,PNAS,4
Marriage and Family Living,Social Forces,60,80,eugenics,sociology,Fam. Living,Social Forces,2
American Journal of Sociology,Milbank Quarterly,51,117,sociology,pubh,AJS,Milbank,9
Demography,Milbank Quarterly,24,117,demography,pubh,Demography,Milbank,9
American Journal of Sociology,Population Studies,51,165,sociology,demography,AJS,Pop. Studies,9
Demography,Population Studies,24,165,demography,demography,Demography,Pop. Studies,5
American Journal of Sociology,Demography,51,24,sociology,demography,AJS,Demography,5
American Sociological Review,Demography,109,24,sociology,demography,ASR,Demography,7
American Sociological Review,Marriage and Family Living,109,60,sociology,eugenics,ASR,Fam. Living,10
Marriage and Family Living,Population Index,60,52,eugenics,demography,Fam. Living,Pop. Index,2
Marriage and Family Living,Milbank Quarterly,60,117,eugenics,pubh,Fam. Living,Milbank,6
American Sociological Review,Population Index,109,52,sociology,demography,ASR,Pop. Index,3
Milbank Quarterly,Population Index,117,52,pubh,demography,Milbank,Pop. Index,7
Marriage and Family Living,Population Studies,60,165,eugenics,demography,Fam. Living,Pop. Studies,4
American Economic Review,Economic Development and Cultural Change,29,43,economics,economics,AER,Econ. Dev.,6
Human Biology,Social Forces,30,80,eugenics,sociology,Human Biology,Social Forces,1
AAAPSS,Population Studies,38,165,general,demography,AAAPSS,Pop. Studies,6
AAAPSS,Milbank Quarterly,38,117,general,pubh,AAAPSS,Milbank,6
J. of the American Statistical Association,Milbank Quarterly,44,117,statistics,pubh,JASA,Milbank,14
Marriage and Family Living,Public Health Reports,60,108,eugenics,pubh,Fam. Living,PHR,2
AAAPSS,American Economic Review,38,29,general,economics,AAAPSS,AER,3
American Economic Review,Population Studies,29,165,economics,demography,AER,Pop. Studies,2
American Economic Review,Science,29,15,economics,general,AER,Science,1
AAAPSS,Science,38,15,general,general,AAAPSS,Science,1
AAAPSS,Economic Development and Cultural Change,38,43,general,economics,AAAPSS,Econ. Dev.,3
Population Studies,Science,165,15,demography,general,Pop. Studies,Science,1
Economic Development and Cultural Change,Population Studies,43,165,economics,demography,Econ. Dev.,Pop. Studies,4
Economic Development and Cultural Change,Science,43,15,economics,general,Econ. Dev.,Science,2
J. of the American Statistical Association,Population Studies,44,165,statistics,demography,JASA,Pop. Studies,5
Population Index,Population Studies,52,165,demography,demography,Pop. Index,Pop. Studies,8
American Journal of Sociology,Marriage and Family Living,51,60,sociology,eugenics,AJS,Fam. Living,2
Journal of Marriage and Family,Marriage and Family Living,10,60,demography,eugenics,JMF,Fam. Living,1
Demography,Economic Development and Cultural Change,24,43,demography,economics,Demography,Econ. Dev.,1
American Journal of Sociology,Population Index,51,52,sociology,demography,AJS,Pop. Index,4
J. of the American Statistical Association,Population Index,44,52,statistics,demography,JASA,Pop. Index,2
American Sociological Review,Journal of Marriage and Family,109,10,sociology,demography,ASR,JMF,1
Journal of Marriage and Family,Social Forces,10,80,demography,sociology,JMF,Social Forces,1
