source,target,scount,tcount,sfield,tfield,slast,tlast,weight
Joseph J. Spengler,,1,,demography,,Spengler,,0
Kingsley Davis,,3,,demography,,Davis,,0
Nathan Keyfitz,,8,,demography,,Keyfitz,,0
Norman B. Ryder,,3,,famplan,,Ryder,,0
Paul Demeny,,12,,famplan,,Demeny,,0
Walter Willcox,,1,,demography,,Willcox,,0
Bernard Berelson,,1,,famplan,,Berelson,,0
Oscar Harkavy,,1,,famplan,,Harkavy,,0
Garrett Hardin,,2,,demography,,Hardin,,0
Hidenori H. Fukui,James W. Curtsinger,1,1,general,general,,,1
David R. Townsend,James W. Curtsinger,1,1,general,general,,,1
James W. Curtsinger,James W. Vaupel,1,18,general,general,,,1
Caroline Hoppe,Tim B. Heaton,1,7,history,sociology,,,1
Janet B. Hardy,Katya Masnyk,3,1,demography,famplan,,,1
Anne K. Duggan,Katya Masnyk,1,1,famplan,famplan,,,1
Carol Pearson,Katya Masnyk,1,1,famplan,famplan,,,1
Arland Thornton,Donald Camburn,14,1,sociology,demography,Thornton,,1
Anne R. Cross,Walter Obungu,2,1,famplan,famplan,,,1
Anne R. Cross,Paul Kizito,2,1,famplan,famplan,,,1
Ann A. Way,Anne R. Cross,2,2,famplan,famplan,,,1
Anne R. Cross,Sushil Kumar,2,2,famplan,famplan,,,1
Aulikki Nissinen,Erkki Vartiainen,1,1,pubh,pubh,,,1
Aulikki Nissinen,Du Dianjun,1,1,pubh,pubh,,,1
Aulikki Nissinen,James S. Marks,1,3,pubh,pubh,,,1
Aulikki Nissinen,Heikki Korhonen,1,1,pubh,pubh,,,1
Aulikki Nissinen,Geng Guanyi,1,1,pubh,pubh,,,1
Aulikki Nissinen,Guo Ze-Yu,1,1,pubh,pubh,,,1
Aulikki Nissinen,Jeffrey P. Koplan,1,1,pubh,pubh,,,1
Aulikki Nissinen,Pirjo Pietinen,1,1,pubh,pubh,,,1
Aulikki Nissinen,We Guang-Lin,1,1,pubh,pubh,,,1
Aulikki Nissinen,David Williamson,1,1,pubh,pubh,,,1
Paul W. Stupp,Renee Samara,3,1,famplan,famplan,,,1
Jane T. Bertrand,Mark E. Mcbride,8,1,famplan,famplan,,,1
Mark E. Mcbride,Nlandu Mangani,1,2,famplan,famplan,,,1
Mark E. Mcbride,Matondo Mansilu,1,2,famplan,famplan,,,1
Jeffrey L. Tharp,Mark E. Mcbride,1,1,famplan,famplan,,,1
Amy Ong Tsui,Toni Richards,2,3,demography,statistics,,,1
Amy Ong Tsui,Michael J. White,2,7,demography,sociology,,,2
Adela Pellegrino,Douglas S. Massey,2,29,demography,demography,,Massey,2
Adela Pellegrino,Joaquin Arango,2,2,demography,demography,,,2
Adela Pellegrino,Graeme Hugo,2,3,demography,demography,,,2
Adela Pellegrino,Ali Kouaouci,2,2,demography,demography,,,2
Adela Pellegrino,J. Edward Taylor,2,6,demography,economics,,,2
Maurice D. Van Arsdol Jr.,Siti Pariani,1,1,famplan,famplan,,,1
David M. Heer,Maurice D. Van Arsdol Jr.,3,1,famplan,famplan,,,1
James Trussell,Kathryn Kost,24,6,demography,famplan,,,2
Kathryn Kost,Stanley K. Henshaw,6,20,famplan,famplan,,,1
Jacqueline Darroch Forrest,Kathryn Kost,18,6,demography,famplan,,,2
Kathryn Kost,Susan Harlap,6,2,famplan,famplan,,,1
Kathryn Kost,Robert A. Hatcher,6,2,famplan,famplan,,,1
Kathryn Kost,Willard Cates Jr.,6,4,famplan,famplan,,,1
Felicia Hance Stewart,Kathryn Kost,1,6,famplan,famplan,,,1
Mark A. Fossett,William R. Kelly,5,1,demography,sociology,,,1
Omer R. Galle,William R. Kelly,4,1,general,sociology,,,1
Charles F. Westoff,Noreen Goldman,16,13,famplan,famplan,Westoff,,5
Charles F. Westoff,Lois E. Paul,16,2,famplan,demography,Westoff,,2
Charles F. Westoff,Lorenzo Moreno,16,5,famplan,demography,Westoff,,2
Charles F. Westoff,Charles R. Hammerslough,16,3,famplan,pubh,Westoff,,1
Charles F. Westoff,Lois Paul,16,1,famplan,demography,Westoff,,1
Charles F. Westoff,Charles W. Warren,16,12,famplan,demography,Westoff,,1
