source,target,scount,tcount,sfield,tfield,slast,tlast,weight
Frank W. Notestein,,4,,demography,,Notestein,,0
John D. Durand,,1,,demography,,Durand,,0
Everett S. Lee,,1,,general,,Lee,,0
Arthur A. Campbell,,1,,general,,Campbell,,0
George J. Stolnitz,,1,,demography,,Stolnitz,,0
Jane A. Menken,,1,,sociology,,Menken,,0
Paul Demeny,,7,,demography,,Demeny,,0
Ronald Lee,,1,,statistics,,Lee,,0
Alberto Palloni,,4,,demography,,Palloni,,0
David Goldberg,,1,,sociology,,Goldberg,,0
Arland Thornton,Deborah Freedman,12,2,famplan,demography,Thornton,,1
Bruce Schearer,Christopher Tietze,1,20,famplan,famplan,,,1
Bruce Schearer,John Bongaarts,1,22,famplan,demography,,,1
J. N. Hobcraft,S. O. Rutstein,2,1,demography,demography,,,1
J. W. Mcdonald,S. O. Rutstein,1,1,demography,demography,,,1
Carol Measham,Jerald Bailey,1,5,famplan,famplan,,,1
Carol Measham,Maria Umana,1,1,famplan,famplan,,,1
Calvin Goldscheider,William D. Mosher,4,8,famplan,demography,,,1
Calvin Goldscheider,Dov Friedlander,4,5,famplan,demography,,,3
Calvin Goldscheider,Zvi Eisenbach,4,2,famplan,demography,,,2
Douglas S. Massey,Kathleen M. Schnabel,8,1,sociology,demography,Massey,,1
Arland Thornton,Deborah S. Freedman,12,3,famplan,demography,Thornton,,3
Arland Thornton,Ronald Freedman,12,13,famplan,demography,Thornton,Freedman,2
Arland Thornton,Ming-Cheng Chang,12,7,famplan,famplan,Thornton,,1
Arland Thornton,Te-Hsiung Sun,12,8,famplan,famplan,Thornton,,1
Arland Thornton,Deborah Freedman,12,2,famplan,demography,Thornton,,1
Arland Thornton,William E. Bertrand,12,2,famplan,general,Thornton,,1
Arland Thornton,Jane T. Bertrand,12,6,famplan,demography,Thornton,,1
Arland Thornton,Kabamba Nkamany,12,1,famplan,famplan,Thornton,,1
Linda J. Waite,Ross M. Stolzenberg,9,3,demography,demography,Waite,,3
Glenna D. Spitze,Linda J. Waite,1,9,demography,demography,,Waite,1
Kristin A. Moore,Linda J. Waite,7,9,sociology,demography,,Waite,3
George F. Brown,Irving Sivin,6,6,famplan,famplan,,,1
George F. Brown,Hervé Gauthier,6,4,famplan,famplan,,,4
A. A. Armar,George F. Brown,1,6,famplan,famplan,,,1
Kenneth L. Wilson,W. Allen Martin,2,1,sociology,sociology,,,1
Carmen Miro,Magdalena Leon De Leal,4,1,demography,famplan,,,1
Leo Morris,Sam Taylor,9,1,famplan,famplan,,,1
Ricardo Castaneda Rugamas,Sam Taylor,1,1,famplan,famplan,,,1
Angela M. De Mendoza,Sam Taylor,1,1,famplan,famplan,,,1
Kenneth W. Wachter,Paul A. Tukey,5,1,general,statistics,,,1
Lincoln C. Chen,Makhlisur Rahman,10,4,famplan,famplan,,,1
Lincoln C. Chen,Stan Dsouza,10,4,famplan,famplan,,,3
J. Chakraborty,Lincoln C. Chen,8,10,demography,famplan,,,1
A. M. Sardar,Lincoln C. Chen,1,10,famplan,famplan,,,1
Lincoln C. Chen,M. Ataur Rahman,10,1,famplan,famplan,,,2
Lincoln C. Chen,Lincoln C. Chen,10,10,famplan,famplan,,,1
Emdadul Huq,Lincoln C. Chen,1,10,demography,famplan,,,1
Lincoln C. Chen,W. Henry Mosley,10,5,famplan,general,,,1
Lincoln C. Chen,Rafiqul Huda Chaudhury,10,3,famplan,demography,,,1
A. K. M. Alauddin Chowdhury,Lincoln C. Chen,6,10,general,famplan,,,1
Atiqur Rahman Khan,Lincoln C. Chen,4,10,demography,famplan,,,1
George T. Curlin,Lincoln C. Chen,1,10,demography,famplan,,,1
Lincoln C. Chen,Sayed Babur Hussain,10,1,famplan,demography,,,1
Katherine A. Lynch,Lee L. Bean,1,2,demography,demography,,,1
Geraldine P. Mineau,Katherine A. Lynch,3,1,demography,demography,,,1
