source,target,scount,tcount,sfield,tfield,sabbrev,tabbrev,weight
AAAPSS,,41,,general,,AAAPSS,,0
William and Mary Quarterly,,8,,history,,WMQ,,0
Social Forces,,157,,sociology,,Social Forces,,0
Studies in Family Planning,,303,,famplan,,Studies in FP,,0
Journal of Population Economics,,203,,demography,,Pop. Econ.,,0
Journal of Marriage and Family,,270,,demography,,JMF,,0
GeoJournal,,117,,geography,,GeoJournal,,0
American Economic Review,,127,,economics,,AER,,0
Journal of Economic History,,73,,history,,JEH,,0
Population Index,,5,,demography,,Pop. Index,,0
American Journal of Sociology,,40,,sociology,,AJS,,0
Social Science History,,57,,history,,SSH,,0
Population Studies,,226,,demography,,Pop. Studies,,0
Social Indicators Research,,106,,general,,Soc. Ind.,,0
American Journal of Agricultural Economics,,42,,economics,,Ag. Econ.,,0
Public Health Reports,,140,,pubh,,PHR,,0
Science,,54,,general,,Science,,0
Economic Geography,,29,,geography,,Econ. Geo.,,0
European Journal of Population,,137,,demography,,Euro. Pop.,,0
PDR,,394,,demography,,PDR,,0
Human Biology,,134,,eugenics,,Human Biology,,0
Economic Development and Cultural Change,,83,,economics,,Econ. Dev.,,0
Demography,,340,,demography,,Demography,,0
Population and Environment,,164,,demography,,Pop. Env.,,0
Journal of Social History,,21,,history,,Social Hist.,,0
Genus,,174,,eugenics,,Genus,,0
J. of the American Statistical Association,,25,,statistics,,JASA,,0
PNAS,,51,,general,,PNAS,,0
Journal of Interdisciplinary History,,46,,history,,JIH,,0
International Migration Review,,401,,demography,,IMR,,0
American Sociological Review,,104,,sociology,,ASR,,0
Biometrika,,1,,eugenics,,Biometrika,,0
Economic History Review,,35,,history,,EHR,,0
PRPR,,224,,demography,,PRPR,,0
Family Planning Perspectives,,200,,famplan,,FP Perspectives,,0
Biometrics,,19,,eugenics,,Biometrics,,0
International FP Perspectives,,270,,famplan,,Intl. FP,,0
European Journal of Population,Population and Environment,137,164,demography,demography,Euro. Pop.,Pop. Env.,10
European Journal of Population,PDR,137,394,demography,demography,Euro. Pop.,PDR,21
PDR,Population and Environment,394,164,demography,demography,PDR,Pop. Env.,14
Demography,PRPR,340,224,demography,demography,Demography,PRPR,77
PRPR,Population Studies,224,226,demography,demography,PRPR,Pop. Studies,30
Demography,Population Studies,340,226,demography,demography,Demography,Pop. Studies,72
International Migration Review,PDR,401,394,demography,demography,IMR,PDR,23
International Migration Review,Population Studies,401,226,demography,demography,IMR,Pop. Studies,14
PDR,Population Studies,394,226,demography,demography,PDR,Pop. Studies,56
Demography,Journal of Population Economics,340,203,demography,demography,Demography,Pop. Econ.,24
Demography,Journal of Marriage and Family,340,270,demography,demography,Demography,JMF,72
Demography,PDR,340,394,demography,demography,Demography,PDR,67
Demography,International Migration Review,340,401,demography,demography,Demography,IMR,54
AAAPSS,Social Forces,41,157,general,sociology,AAAPSS,Social Forces,3
AAAPSS,Demography,41,340,general,demography,AAAPSS,Demography,8
AAAPSS,International Migration Review,41,401,general,demography,AAAPSS,IMR,2
AAAPSS,PDR,41,394,general,demography,AAAPSS,PDR,5
Demography,Social Forces,340,157,demography,sociology,Demography,Social Forces,54
International Migration Review,Social Forces,401,157,demography,sociology,IMR,Social Forces,27
PDR,Social Forces,394,157,demography,sociology,PDR,Social Forces,16
Demography,Studies in Family Planning,340,303,demography,famplan,Demography,Studies in FP,43
Population Studies,Studies in Family Planning,226,303,demography,famplan,Pop. Studies,Studies in FP,40
International Migration Review,Journal of Marriage and Family,401,270,demography,demography,IMR,JMF,21
American Sociological Review,Family Planning Perspectives,104,200,sociology,famplan,ASR,FP Perspectives,5
American Sociological Review,PRPR,104,224,sociology,demography,ASR,PRPR,17
American Sociological Review,Social Forces,104,157,sociology,sociology,ASR,Social Forces,37
American Sociological Review,Demography,104,340,sociology,demography,ASR,Demography,48
American Sociological Review,Journal of Marriage and Family,104,270,sociology,demography,ASR,JMF,30
Family Planning Perspectives,PRPR,200,224,famplan,demography,FP Perspectives,PRPR,10
Family Planning Perspectives,Social Forces,200,157,famplan,sociology,FP Perspectives,Social Forces,4
Demography,Family Planning Perspectives,340,200,demography,famplan,Demography,FP Perspectives,18
Family Planning Perspectives,Journal of Marriage and Family,200,270,famplan,demography,FP Perspectives,JMF,25
PRPR,Social Forces,224,157,demography,sociology,PRPR,Social Forces,28
Journal of Marriage and Family,PRPR,270,224,demography,demography,JMF,PRPR,35
Journal of Marriage and Family,Social Forces,270,157,demography,sociology,JMF,Social Forces,45
American Journal of Agricultural Economics,International Migration Review,42,401,economics,demography,Ag. Econ.,IMR,1
American Journal of Agricultural Economics,PDR,42,394,economics,demography,Ag. Econ.,PDR,2
Journal of Population Economics,Population Studies,203,226,demography,demography,Pop. Econ.,Pop. Studies,9
Journal of Economic History,Social Science History,73,57,history,history,JEH,SSH,11
Demography,Science,340,54,demography,general,Demography,Science,12
International FP Perspectives,Studies in Family Planning,270,303,famplan,famplan,Intl. FP,Studies in FP,78
International Migration Review,Journal of Population Economics,401,203,demography,demography,IMR,Pop. Econ.,14
International Migration Review,Population and Environment,401,164,demography,demography,IMR,Pop. Env.,8
Economic Geography,Population and Environment,29,164,geography,demography,Econ. Geo.,Pop. Env.,1
Economic Geography,International Migration Review,29,401,geography,demography,Econ. Geo.,IMR,2
