source,target,scount,tcount,sfield,tfield,slast,tlast,weight
Frederick Osborn,,1,,demography,,Osborn,,0
Philip M. Hauser,,4,,sociology,,Hauser,,0
Joseph J. Spengler,,6,,demography,,Spengler,,0
Harold F. Dorn,,1,,pubh,,Dorn,,0
Dorothy S. Thomas,,1,,demography,,Thomas,,0
Dudley Kirk,,3,,general,,Kirk,,0
Norman B. Ryder,,1,,general,,Ryder,,0
George J. Stolnitz,,7,,pubh,,Stolnitz,,0
Reynolds Farley,,1,,sociology,,Farley,,0
J. Richard Udry,,1,,sociology,,Udry,,0
William Fielding Ogburn,,1,,sociology,,Ogburn,,0
Lois Pratt,Pascal K. Whelpton,1,9,pubh,sociology,,Whelpton,1
Adolfo Gaete-Darbó,T. H. Montenegro,1,3,pubh,pubh,,,1
Adolfo Gaete-Darbó,R. R. Puffer,1,3,pubh,pubh,,,1
Adolfo Gaete-Darbó,Ronald Freedman,1,14,pubh,pubh,,Freedman,1
Adolfo Gaete-Darbó,F. E. Linder,1,2,pubh,pubh,,,1
Adolfo Gaete-Darbó,J. V. Grauman,1,4,pubh,pubh,,,1
Adolfo Gaete-Darbó,Donald J. Bogue,1,6,pubh,pubh,,Bogue,1
Adolfo Gaete-Darbó,C. A. Miró,1,4,pubh,pubh,,,1
Adolfo Gaete-Darbó,H. Behm,1,3,pubh,pubh,,,1
Adolfo Gaete-Darbó,Kingsley Davis,1,8,pubh,economics,,Davis,1
Judith Blake,Kingsley Davis,2,8,demography,economics,Blake,Davis,1
I. B. Taeuber,Kingsley Davis,3,8,pubh,economics,,Davis,1
A. Arca-Parró,Kingsley Davis,2,8,pubh,economics,,Davis,1
G. W. Roberts,Kingsley Davis,5,8,demography,economics,,Davis,1
F. E. Linder,Kingsley Davis,2,8,pubh,economics,,Davis,2
Kingsley Davis,Lowell J. Reed,8,3,economics,pubh,Davis,Reed,1
Adolfo Gaete-Darbó,Kingsley Davis,1,8,pubh,economics,,Davis,1
Kingsley Davis,T. H. Montenegro,8,3,economics,pubh,Davis,,2
Kingsley Davis,R. R. Puffer,8,3,economics,pubh,Davis,,1
Kingsley Davis,Ronald Freedman,8,14,economics,pubh,Davis,Freedman,1
J. V. Grauman,Kingsley Davis,4,8,pubh,economics,,Davis,2
Donald J. Bogue,Kingsley Davis,6,8,pubh,economics,Bogue,Davis,1
C. A. Miró,Kingsley Davis,4,8,pubh,economics,,Davis,2
H. Behm,Kingsley Davis,3,8,pubh,economics,,Davis,2
Giorgio Mortara,Kingsley Davis,1,8,pubh,economics,,Davis,1
Kingsley Davis,Pascal K. Whelpton,8,9,economics,sociology,Davis,Whelpton,1
D. Kirk,Kingsley Davis,2,8,pubh,economics,,Davis,1
Carmen Miro,T. H. Montenegro,2,3,demography,pubh,,,1
F. W. Notestein,T. H. Montenegro,1,3,pubh,pubh,,,1
Ronald Freedman,T. H. Montenegro,14,3,pubh,pubh,Freedman,,2
Nathan Keyfitz,T. H. Montenegro,6,3,demography,pubh,Keyfitz,,1
Adolfo Gaete-Darbó,T. H. Montenegro,1,3,pubh,pubh,,,1
R. R. Puffer,T. H. Montenegro,3,3,pubh,pubh,,,1
F. E. Linder,T. H. Montenegro,2,3,pubh,pubh,,,1
J. V. Grauman,T. H. Montenegro,4,3,pubh,pubh,,,2
Donald J. Bogue,T. H. Montenegro,6,3,pubh,pubh,Bogue,,1
C. A. Miró,T. H. Montenegro,4,3,pubh,pubh,,,2
H. Behm,T. H. Montenegro,3,3,pubh,pubh,,,2
Kingsley Davis,T. H. Montenegro,8,3,economics,pubh,Davis,,2
Giorgio Mortara,T. H. Montenegro,1,3,pubh,pubh,,,1
Pascal K. Whelpton,T. H. Montenegro,9,3,sociology,pubh,Whelpton,,1
