source,target,scount,tcount,sfield,tfield,slast,tlast,weight
Conrad Taeuber,,3,,general,,Taeuber,,0
George J. Stolnitz,,1,,demography,,Stolnitz,,0
Ronald Lee,,2,,demography,,Lee,,0
Garrett Hardin,,1,,famplan,,Hardin,,0
David M. Heer,Judith G. Bryden,14,1,famplan,demography,,,1
David M. Heer,John B. Wyon,14,3,famplan,pubh,,,1
David M. Heer,Stephen L. Finner,14,1,famplan,demography,,,1
David M. Heer,Nadipuram R. Parthasarathy,14,1,famplan,demography,,,1
David M. Heer,John E. Gordon,14,3,famplan,pubh,,,1
David M. Heer,Elsa S. Turner,14,1,famplan,demography,,,1
David M. Heer,Dean O. Smith,14,2,famplan,demography,,,2
David A. May,David M. Heer,1,14,demography,famplan,,,1
David M. Heer,Thomas P. Monahan,14,3,famplan,demography,,,1
H. William Mooney,Leslie Corsa Jr.,1,2,pubh,pubh,,,1
Beatrice R. Pollack,Leslie Corsa Jr.,1,2,pubh,pubh,,,1
J. Y. Peng,Leslie Corsa Jr.,4,2,famplan,pubh,,,1
L. P. Chow,Leslie Corsa Jr.,10,2,famplan,pubh,,,1
Carmen Miro,Jorge L. Somoza,5,2,demography,demography,,,1
Jorge L. Somoza,Philip M. Hauser,2,16,demography,demography,,Hauser,1
Donald S. Akers,Ellen Linna Jamison,5,1,demography,demography,,,1
A. Peter Ruderman,Salvador Diaz,1,1,pubh,pubh,,,1
A. Peter Ruderman,H. Jack Geiger,1,1,pubh,pubh,,,1
A. Peter Ruderman,Alvaro Lopez,1,4,pubh,demography,,,1
A. Peter Ruderman,Reginaldo Zaccara De Campos,1,1,pubh,pubh,,,1
Everett S. Lee,Juan C. Elizaga,6,4,demography,demography,Lee,,1
J. Arias,Juan C. Elizaga,3,4,pubh,demography,,,1
Chaichana Suvanavejh,Peter J. Donaldson,2,1,famplan,famplan,,,1
Chaichana Suvanavejh,J. Oscar Alers,2,3,famplan,demography,,,1
Chaichana Suvanavejh,Winich Asavasena,2,4,famplan,famplan,,,1
Allan G. Rosenfield,Chaichana Suvanavejh,7,2,famplan,famplan,,,1
Clark E. Vincent,John F. Kantner,1,10,demography,demography,,Kantner,1
Clark E. Vincent,Melvin Zelnik,1,10,demography,demography,,,1
Clark E. Vincent,Philip R. Kunz,1,1,demography,demography,,,1
Clark E. Vincent,Merlin B. Brinkerhoff,1,2,demography,demography,,,1
Carl M. Cochrane,Clark E. Vincent,1,1,demography,demography,,,1
C. Allen Haney,Clark E. Vincent,1,1,demography,demography,,,1
H. Majumdar,Mindel C. Sheps,1,14,demography,demography,,,1
Merlin B. Brinkerhoff,Phillip R. Kunz,2,3,demography,demography,,,1
John F. Kantner,Merlin B. Brinkerhoff,10,2,demography,demography,Kantner,,1
Melvin Zelnik,Merlin B. Brinkerhoff,10,2,demography,demography,,,1
Merlin B. Brinkerhoff,Philip R. Kunz,2,1,demography,demography,,,1
Clark E. Vincent,Merlin B. Brinkerhoff,1,2,demography,demography,,,1
Carl M. Cochrane,Merlin B. Brinkerhoff,1,2,demography,demography,,,1
C. Allen Haney,Merlin B. Brinkerhoff,1,2,demography,demography,,,1
Dae Woo Han,George Worth,2,2,famplan,famplan,,,1
Dae Woo Han,Walter B. Watson,2,3,famplan,sociology,,,1
Dae Woo Han,O. D. Finnigan,2,1,famplan,famplan,,,1
Dae Woo Han,S. M. Keeny,2,4,famplan,famplan,,,2
Dae Woo Han,John A. Ross,2,11,famplan,demography,,,1
Dae Woo Han,George P. Cernada,2,6,famplan,famplan,,,1
Dae Woo Han,T. C. Hsu,2,2,famplan,demography,,,1
Dae Woo Han,T. H. Sun,2,6,famplan,demography,,,1
Charles F. Westoff,Jose Donayre,24,1,famplan,pubh,Westoff,,1
Carmen Miro,Kingsley Davis,5,3,demography,demography,,Davis,1
Kingsley Davis,Walter Mertens,3,2,demography,demography,Davis,,1
Eduardo E. Arriaga,Kingsley Davis,7,3,pubh,demography,,Davis,1
Harriet B. Presser,Larry L. Bumpass,7,4,pubh,sociology,Presser,Bumpass,2
James A. Sweet,Larry L. Bumpass,5,4,famplan,sociology,,Bumpass,1
Edwin D. Driver,Hugh Loebner,7,1,demography,demography,,,1
Edwin D. Driver,James E. Teele,7,4,demography,pubh,,,3
Edwin D. Driver,William M. Schmidt,7,1,demography,pubh,,,1
