source,target,scount,tcount,sfield,tfield,sabbrev,tabbrev,weight
AAAPSS,,63,,general,,AAAPSS,,0
J. of the American Statistical Association,,36,,statistics,,JASA,,0
Transactions of the Faculty of Actuaries,,7,,statistics,,Actuaries,,0
Social Forces,,62,,sociology,,Social Forces,,0
Public Health Reports,,107,,pubh,,PHR,,0
Science,,2,,general,,Science,,0
Marriage and Family Living,,27,,eugenics,,Fam. Living,,0
American Economic Review,,6,,economics,,AER,,0
Journal of Economic History,,4,,history,,JEH,,0
Human Biology,,29,,eugenics,,Human Biology,,0
American Sociological Review,,101,,sociology,,ASR,,0
Population Index,,61,,demography,,Pop. Index,,0
Economic History Review,,5,,history,,EHR,,0
Economic Geography,,3,,geography,,Econ. Geo.,,0
American Journal of Sociology,,55,,sociology,,AJS,,0
William and Mary Quarterly,,1,,history,,WMQ,,0
Population Studies,,140,,demography,,Pop. Studies,,0
Biometrics,,3,,eugenics,,Biometrics,,0
Milbank Quarterly,,66,,pubh,,Milbank,,0
Economic Development and Cultural Change,,4,,economics,,Econ. Dev.,,0
American Sociological Review,Marriage and Family Living,101,27,sociology,eugenics,ASR,Fam. Living,2
AAAPSS,Social Forces,63,62,general,sociology,AAAPSS,Social Forces,2
American Journal of Sociology,Social Forces,55,62,sociology,sociology,AJS,Social Forces,9
American Sociological Review,Social Forces,101,62,sociology,sociology,ASR,Social Forces,14
Milbank Quarterly,Social Forces,66,62,pubh,sociology,Milbank,Social Forces,2
AAAPSS,American Journal of Sociology,63,55,general,sociology,AAAPSS,AJS,6
AAAPSS,American Sociological Review,63,101,general,sociology,AAAPSS,ASR,12
AAAPSS,Milbank Quarterly,63,66,general,pubh,AAAPSS,Milbank,11
American Journal of Sociology,American Sociological Review,55,101,sociology,sociology,AJS,ASR,13
American Journal of Sociology,Milbank Quarterly,55,66,sociology,pubh,AJS,Milbank,5
American Sociological Review,Milbank Quarterly,101,66,sociology,pubh,ASR,Milbank,12
American Sociological Review,Human Biology,101,29,sociology,eugenics,ASR,Human Biology,4
American Journal of Sociology,Population Index,55,61,sociology,demography,AJS,Pop. Index,4
American Sociological Review,Population Index,101,61,sociology,demography,ASR,Pop. Index,11
J. of the American Statistical Association,Milbank Quarterly,36,66,statistics,pubh,JASA,Milbank,7
Human Biology,Milbank Quarterly,29,66,eugenics,pubh,Human Biology,Milbank,1
Human Biology,J. of the American Statistical Association,29,36,eugenics,statistics,Human Biology,JASA,4
American Sociological Review,J. of the American Statistical Association,101,36,sociology,statistics,ASR,JASA,13
J. of the American Statistical Association,Population Studies,36,140,statistics,demography,JASA,Pop. Studies,9
J. of the American Statistical Association,Population Index,36,61,statistics,demography,JASA,Pop. Index,6
American Sociological Review,Population Studies,101,140,sociology,demography,ASR,Pop. Studies,6
Population Index,Population Studies,61,140,demography,demography,Pop. Index,Pop. Studies,7
American Economic Review,Journal of Economic History,6,4,economics,history,AER,JEH,1
AAAPSS,Population Studies,63,140,general,demography,AAAPSS,Pop. Studies,8
American Journal of Sociology,Population Studies,55,140,sociology,demography,AJS,Pop. Studies,5
Milbank Quarterly,Population Index,66,61,pubh,demography,Milbank,Pop. Index,7
AAAPSS,Population Index,63,61,general,demography,AAAPSS,Pop. Index,5
J. of the American Statistical Association,Social Forces,36,62,statistics,sociology,JASA,Social Forces,4
Human Biology,Public Health Reports,29,107,eugenics,pubh,Human Biology,PHR,1
Milbank Quarterly,Public Health Reports,66,107,pubh,pubh,Milbank,PHR,4
Marriage and Family Living,Social Forces,27,62,eugenics,sociology,Fam. Living,Social Forces,1
J. of the American Statistical Association,Public Health Reports,36,107,statistics,pubh,JASA,PHR,2
Population Studies,Public Health Reports,140,107,demography,pubh,Pop. Studies,PHR,2
Population Index,Social Forces,61,62,demography,sociology,Pop. Index,Social Forces,1
American Journal of Sociology,J. of the American Statistical Association,55,36,sociology,statistics,AJS,JASA,4
American Journal of Sociology,Human Biology,55,29,sociology,eugenics,AJS,Human Biology,2
American Journal of Sociology,Marriage and Family Living,55,27,sociology,eugenics,AJS,Fam. Living,2
AAAPSS,J. of the American Statistical Association,63,36,general,statistics,AAAPSS,JASA,7
AAAPSS,Public Health Reports,63,107,general,pubh,AAAPSS,PHR,2
Human Biology,Social Forces,29,62,eugenics,sociology,Human Biology,Social Forces,2
Milbank Quarterly,Population Studies,66,140,pubh,demography,Milbank,Pop. Studies,7
Economic Development and Cultural Change,Milbank Quarterly,4,66,economics,pubh,Econ. Dev.,Milbank,1
AAAPSS,Economic Development and Cultural Change,63,4,general,economics,AAAPSS,Econ. Dev.,1
American Journal of Sociology,Economic Development and Cultural Change,55,4,sociology,economics,AJS,Econ. Dev.,1
Economic Development and Cultural Change,Population Studies,4,140,economics,demography,Econ. Dev.,Pop. Studies,1
AAAPSS,Journal of Economic History,63,4,general,history,AAAPSS,JEH,2
Economic History Review,Population Studies,5,140,history,demography,EHR,Pop. Studies,1
J. of the American Statistical Association,Science,36,2,statistics,general,JASA,Science,1
American Economic Review,J. of the American Statistical Association,6,36,economics,statistics,AER,JASA,1
Journal of Economic History,Population Index,4,61,history,demography,JEH,Pop. Index,1
Journal of Economic History,Population Studies,4,140,history,demography,JEH,Pop. Studies,1
Journal of Economic History,Milbank Quarterly,4,66,history,pubh,JEH,Milbank,1
J. of the American Statistical Association,Journal of Economic History,36,4,statistics,history,JASA,JEH,1
American Sociological Review,Journal of Economic History,101,4,sociology,history,ASR,JEH,1
Biometrics,Human Biology,3,29,eugenics,eugenics,Biometrics,Human Biology,1
